day,slot,pillar,title,body,target_path
"1","evening","guide","料金確認の確認","入店前に見る料金確認リスト。席料、サービス料、税、時間制を総額で確認してから判断。投稿者の申告に基づく注意情報として、証拠と公開本文を分けて扱います。","/guides/before-entry-price-check"
"2","morning","guide","明細確認の確認","会計前後の確認リスト。明細、領収書、カード控えを保存し、後から説明内容を確認できる状態に。投稿者の申告に基づく注意情報として、証拠と公開本文を分けて扱います。","/guides/receipt-itemized-bill-check"
"3","evening","guide","カード確認の確認","カード決済後の確認。利用控え、請求明細、説明内容を保存し、必要ならカード会社へ相談。投稿者の申告に基づく注意情報として、証拠と公開本文を分けて扱います。","/guides/card-payment-dispute"
"4","morning","guide","相談準備の確認","トラブル時は安全確保を優先。緊急時110番、相談は#9110、188、カード会社へ。投稿者の申告に基づく注意情報として、証拠と公開本文を分けて扱います。","/guides/consumer-center-consultation"
"5","evening","guide","場所記録の確認","店名が分からなくても、住所、建物名、階数、入口表示を記録すると後から確認しやすい。投稿者の申告に基づく注意情報として、証拠と公開本文を分けて扱います。","/guides/building-address-record"
"6","morning","guide","週末深夜の確認","週末・深夜の入店前確認。総額、時間制、明細、同行者共有、安全確保を先に決める。投稿者の申告に基づく注意情報として、証拠と公開本文を分けて扱います。","/guides/weekend-night-checklist"
"7","evening","area","新宿・歌舞伎町の入店前確認","新宿・歌舞伎町周辺で入店前に確認したい項目を整理しています。料金説明、明細、建物名、階数を保存してから判断を。","/areas/shinjuku-kabukicho"
"8","evening","area","池袋の入店前確認","池袋周辺で入店前に確認したい項目を整理しています。料金説明、明細、建物名、階数を保存してから判断を。","/areas/ikebukuro"
"9","evening","area","渋谷・道玄坂・宇田川町の入店前確認","渋谷・道玄坂・宇田川町周辺で入店前に確認したい項目を整理しています。料金説明、明細、建物名、階数を保存してから判断を。","/areas/shibuya-dogenzaka-udagawacho"
"10","evening","area","上野・御徒町・湯島の入店前確認","上野・御徒町・湯島周辺で入店前に確認したい項目を整理しています。料金説明、明細、建物名、階数を保存してから判断を。","/areas/ueno-okachimachi-yushima"
"11","evening","area","六本木・麻布十番の入店前確認","六本木・麻布十番周辺で入店前に確認したい項目を整理しています。料金説明、明細、建物名、階数を保存してから判断を。","/areas/roppongi-azabujuban"
"12","evening","area","銀座・新橋・有楽町の入店前確認","銀座・新橋・有楽町周辺で入店前に確認したい項目を整理しています。料金説明、明細、建物名、階数を保存してから判断を。","/areas/ginza-shimbashi-yurakucho"
"13","evening","area","赤坂・赤坂見附の入店前確認","赤坂・赤坂見附周辺で入店前に確認したい項目を整理しています。料金説明、明細、建物名、階数を保存してから判断を。","/areas/akasaka-akasakamitsuke"
"14","evening","area","錦糸町の入店前確認","錦糸町周辺で入店前に確認したい項目を整理しています。料金説明、明細、建物名、階数を保存してから判断を。","/areas/kinshicho"
"15","evening","area","五反田の入店前確認","五反田周辺で入店前に確認したい項目を整理しています。料金説明、明細、建物名、階数を保存してから判断を。","/areas/gotanda"
"16","evening","area","立川の入店前確認","立川周辺で入店前に確認したい項目を整理しています。料金説明、明細、建物名、階数を保存してから判断を。","/areas/tachikawa"
"17","evening","area","町田の入店前確認","町田周辺で入店前に確認したい項目を整理しています。料金説明、明細、建物名、階数を保存してから判断を。","/areas/machida"
"18","evening","area","吉祥寺の入店前確認","吉祥寺周辺で入店前に確認したい項目を整理しています。料金説明、明細、建物名、階数を保存してから判断を。","/areas/kichijoji"
"19","weekend","support","週末前の相談先確認","身の危険を感じた場合は安全確保を優先。緊急時は110番、相談は#9110、188、カード会社への連絡も確認を。","/support"
"20","morning","contribution","30秒の情報提供","店名が曖昧でも、住所、建物名、階数、会計前説明の手がかりが役立ちます。送信内容は自動公開されません。","/reports/quick"
"21","evening","contribution","証拠画像は非公開","レシートや明細は公開せず、管理者確認用として扱います。公開ページには投稿者メールや証拠画像URLを出しません。","/trust"
"22","weekend","guide","週末深夜の確認","週末・深夜は、総額、時間制、明細、同行者共有、安全確保を先に決めておくと後から確認しやすくなります。","/guides/weekend-night-checklist"
"23","morning","support","公開しない情報","入店前チェック東京は、証拠画像、投稿者メール、非公開メモを一般公開しません。承認済み投稿だけを慎重に表示します。","/trust"
"24","evening","contribution","場所の手がかり募集","建物名、階数、入店前説明、会計時説明を分けて記録すると、審査時に確認しやすくなります。","/contribute"
"25","morning","guide","カード控えの保存","カード決済後は、利用控えと後日の請求明細を照合。カード番号など個人情報は公開しないでください。","/guides/card-payment-dispute"
"26","evening","area","地図で確認","地図に表示するのは承認済み投稿がある場所だけです。未承認投稿や証拠画像は一般公開しません。","/map"
"27","weekend","guide","明細提示の確認","会計前後は、注文内容、人数、時間、席料、サービス料の内訳を確認。受け取った資料は保存を。","/guides/receipt-itemized-bill-check"
"28","morning","support","相談前の整理","相談前は、日時、場所、金額、説明内容、資料を分けて整理。断定ではなく確認したい点として伝えるのが安全です。","/guides/consumer-center-consultation"
"29","evening","contribution","情報提供の粒度","入店前説明、店内説明、会計時説明、明細提示の有無を分けて送ると、公開前審査で扱いやすくなります。","/reports/quick"
"30","weekend","area","対象エリア拡大中","新宿、池袋、渋谷、上野周辺から、六本木、銀座、新橋、赤坂、錦糸町、五反田、立川、町田、吉祥寺へ拡大中。","/areas"
